from,to,policies,engine,raw_patch_bytes,compressed_patch_bytes,diff_ms,apply_ms,verify_ms,peak_rss_mib,verified
v01,v02,adjacent+ladder+base-candidate:v01+hot-pairs+all-pairs,cavsplan,525248,525248,114,41,43,,true
v01,v02,adjacent+ladder+base-candidate:v01+hot-pairs+all-pairs,bsdiff,529462,529462,6274,143,49,616.8,true
v01,v02,adjacent+ladder+base-candidate:v01+hot-pairs+all-pairs,xdelta3,525101,525101,323,137,51,240.1,true
v02,v03,adjacent+ladder+hot-pairs+all-pairs,cavsplan,525178,525178,87,32,38,,true
v02,v03,adjacent+ladder+hot-pairs+all-pairs,bsdiff,529581,529581,6082,144,49,616.8,true
v02,v03,adjacent+ladder+hot-pairs+all-pairs,xdelta3,525066,525066,302,154,53,240.2,true
v03,v04,adjacent+ladder+hot-pairs+all-pairs,cavsplan,656218,656218,88,25,37,,true
v03,v04,adjacent+ladder+hot-pairs+all-pairs,bsdiff,660812,660812,6213,162,53,616.8,true
v03,v04,adjacent+ladder+hot-pairs+all-pairs,xdelta3,656094,656094,293,125,53,240.5,true
v04,v05,adjacent+ladder+hot-pairs+all-pairs,cavsplan,394204,394204,85,23,37,,true
v04,v05,adjacent+ladder+hot-pairs+all-pairs,bsdiff,397902,397902,5929,139,47,616.8,true
v04,v05,adjacent+ladder+hot-pairs+all-pairs,xdelta3,394103,394103,286,175,48,240.0,true
v05,v06,adjacent+ladder+base-candidate:v06+hot-pairs+all-pairs,cavsplan,263273,263273,81,33,37,,true
v05,v06,adjacent+ladder+base-candidate:v06+hot-pairs+all-pairs,bsdiff,266874,266874,5648,115,44,616.8,true
v05,v06,adjacent+ladder+base-candidate:v06+hot-pairs+all-pairs,xdelta3,263034,263034,246,147,45,239.6,true
v06,v07,adjacent+ladder+base-candidate:v06+hot-pairs+all-pairs,cavsplan,656194,656194,88,23,38,,true
v06,v07,adjacent+ladder+base-candidate:v06+hot-pairs+all-pairs,bsdiff,660664,660664,10531,270,86,616.8,true
v06,v07,adjacent+ladder+base-candidate:v06+hot-pairs+all-pairs,xdelta3,656104,656104,684,315,96,240.2,true
v07,v08,adjacent+ladder+hot-pairs+all-pairs,cavsplan,394145,394145,101,35,43,,true
v07,v08,adjacent+ladder+hot-pairs+all-pairs,bsdiff,398015,398015,6924,357,54,616.8,true
v07,v08,adjacent+ladder+hot-pairs+all-pairs,xdelta3,394067,394067,1504,122,49,239.7,true
v08,v09,adjacent+ladder+hot-pairs+all-pairs,cavsplan,525244,525244,92,28,39,,true
v08,v09,adjacent+ladder+hot-pairs+all-pairs,bsdiff,529528,529528,9507,111,53,616.2,true
v08,v09,adjacent+ladder+hot-pairs+all-pairs,xdelta3,525106,525106,316,162,54,240.1,true
v09,v10,adjacent+ladder+base-candidate:v10+hot-pairs+all-pairs,cavsplan,459740,459740,98,35,41,,true
v09,v10,adjacent+ladder+base-candidate:v10+hot-pairs+all-pairs,bsdiff,463890,463890,6225,152,50,609.6,true
v09,v10,adjacent+ladder+base-candidate:v10+hot-pairs+all-pairs,xdelta3,459580,459580,307,149,49,240.1,true
v01,v03,ladder+base-candidate:v01+all-pairs,cavsplan,984545,984545,118,24,39,,true
v01,v03,ladder+base-candidate:v01+all-pairs,bsdiff,992309,992309,7354,138,62,609.6,true
v01,v03,ladder+base-candidate:v01+all-pairs,xdelta3,984145,984145,319,148,63,240.9,true
v01,v05,ladder+base-candidate:v01+all-pairs,cavsplan,1903292,1903292,168,24,40,,true
v01,v05,ladder+base-candidate:v01+all-pairs,bsdiff,1918546,1918546,9774,218,121,577.5,true
v01,v05,ladder+base-candidate:v01+all-pairs,xdelta3,1902240,1902240,464,130,125,241.5,true
v01,v09,ladder+base-candidate:v01+all-pairs,cavsplan,3478393,3478393,288,26,40,,true
v01,v09,ladder+base-candidate:v01+all-pairs,bsdiff,3506473,3506473,13865,283,209,577.5,true
v01,v09,ladder+base-candidate:v01+all-pairs,xdelta3,3476189,3476189,646,171,203,242.5,true
v03,v05,ladder+all-pairs,cavsplan,984668,984668,127,24,41,,true
v03,v05,ladder+all-pairs,bsdiff,992594,992594,7491,158,58,609.6,true
v03,v05,ladder+all-pairs,xdelta3,984206,984206,350,128,60,240.9,true
v05,v07,ladder+all-pairs,cavsplan,919073,919073,112,24,39,,true
v05,v07,ladder+all-pairs,bsdiff,926811,926811,7317,163,59,577.5,true
v05,v07,ladder+all-pairs,xdelta3,918651,918651,308,128,61,240.8,true
v05,v09,ladder+all-pairs,cavsplan,1772477,1772477,158,25,39,,true
